symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,enginetype,cylindernumber,enginesize,fuelsystem,horsepower,citympg,highwaympg,price
3,gas,std,two,convertible,rwd,88.6,168.8,64.1,48.8,dohc,four,130,mpfi,111,21,27,13495
3,gas,std,two,convertible,rwd,88.6,168.8,64.1,48.8,dohc,four,130,mpfi,111,21,27,16500
1,gas,std,two,hatchback,rwd,94.5,171.2,65.5,52.4,ohcv,six,152,mpfi,154,19,26,16500
2,gas,std,four,sedan,fwd,99.8,176.6,66.2,54.3,ohc,four,109,mpfi,102,24,30,13950
2,gas,std,four,sedan,4wd,99.4,176.6,66.4,54.3,ohc,five,136,mpfi,115,18,22,17450
2,gas,std,two,sedan,fwd,99.8,177.3,66.3,53.1,ohc,five,136,mpfi,110,19,25,15250
1,gas,std,four,sedan,fwd,105.8,192.7,71.4,55.7,ohc,five,136,mpfi,110,19,25,17710
1,gas,std,four,wagon,fwd,105.8,192.7,71.4,55.7,ohc,five,136,mpfi,110,19,25,18920
1,gas,turbo,four,sedan,fwd,105.8,192.7,71.4,55.9,ohc,five,131,mpfi,140,17,20,23875
0,gas,turbo,two,hatchback,4wd,99.5,178.2,67.9,52,ohc,five,131,mpfi,160,16,22,17859.167
2,gas,std,two,sedan,rwd,101.2,176.8,64.8,54.3,ohc,four,108,mpfi,101,23,29,16430
0,gas,std,four,sedan,rwd,101.2,176.8,64.8,54.3,ohc,four,108,mpfi,101,23,29,16925
0,gas,std,two,sedan,rwd,101.2,176.8,64.8,54.3,ohc,six,164,mpfi,121,21,28,20970
0,gas,std,four,sedan,rwd,101.2,176.8,64.8,54.3,ohc,six,164,mpfi,121,21,28,21105
1,gas,std,four,sedan,rwd,103.5,189,66.9,55.7,ohc,six,164,mpfi,121,20,25,24565
0,gas,std,four,sedan,rwd,103.5,189,66.9,55.7,ohc,six,209,mpfi,182,16,22,30760
0,gas,std,two,sedan,rwd,103.5,193.8,67.9,53.7,ohc,six,209,mpfi,182,16,22,41315
0,gas,std,four,sedan,rwd,110,197,70.9,56.3,ohc,six,209,mpfi,182,15,20,36880
2,gas,std,two,hatchback,fwd,88.4,141.1,60.3,53.2,l,three,61,2bbl,48,47,53,5151
1,gas,std,two,hatchback,fwd,94.5,155.9,63.6,52,ohc,four,90,2bbl,70,38,43,6295
0,gas,std,four,sedan,fwd,94.5,158.8,63.6,52,ohc,four,90,2bbl,70,38,43,6575
1,gas,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,90,2bbl,68,37,41,5572
1,gas,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,90,2bbl,68,31,38,6377
1,gas,turbo,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,98,mpfi,102,24,30,7957
1,gas,std,four,hatchback,fwd,93.7,157.3,63.8,50.6,ohc,four,90,2bbl,68,31,38,6229
1,gas,std,four,sedan,fwd,93.7,157.3,63.8,50.6,ohc,four,90,2bbl,68,31,38,6692
1,gas,std,four,sedan,fwd,93.7,157.3,63.8,50.6,ohc,four,90,2bbl,68,31,38,7609
1,gas,turbo,two,sedan,fwd,93.7,157.3,63.8,50.6,ohc,four,98,mpfi,102,24,30,8558
-1,gas,std,four,wagon,fwd,103.3,174.6,64.6,59.8,ohc,four,122,2bbl,88,24,30,8921
3,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,ohc,four,156,mfi,145,19,24,12964
2,gas,std,two,hatchback,fwd,86.6,144.6,63.9,50.8,ohc,four,92,1bbl,58,49,54,6479
2,gas,std,two,hatchback,fwd,86.6,144.6,63.9,50.8,ohc,four,92,1bbl,76,31,38,6855
1,gas,std,two,hatchback,fwd,93.7,150,64,52.6,ohc,four,79,1bbl,60,38,42,5399
1,gas,std,two,hatchback,fwd,93.7,150,64,52.6,ohc,four,92,1bbl,76,30,34,6529
1,gas,std,two,hatchback,fwd,93.7,150,64,52.6,ohc,four,92,1bbl,76,30,34,7129
0,gas,std,four,sedan,fwd,96.5,163.4,64,54.5,ohc,four,92,1bbl,76,30,34,7295
0,gas,std,four,wagon,fwd,96.5,157.1,63.9,58.3,ohc,four,92,1bbl,76,30,34,7295
0,gas,std,two,hatchback,fwd,96.5,167.5,65.2,53.3,ohc,four,110,1bbl,86,27,33,7895
0,gas,std,two,hatchback,fwd,96.5,167.5,65.2,53.3,ohc,four,110,1bbl,86,27,33,9095
0,gas,std,four,sedan,fwd,96.5,175.4,65.2,54.1,ohc,four,110,1bbl,86,27,33,8845
0,gas,std,four,sedan,fwd,96.5,175.4,62.5,54.1,ohc,four,110,1bbl,86,27,33,10295
0,gas,std,four,sedan,fwd,96.5,175.4,65.2,54.1,ohc,four,110,mpfi,101,24,28,12945
1,gas,std,two,sedan,fwd,96.5,169.1,66,51,ohc,four,110,2bbl,100,25,31,10345
0,gas,std,four,sedan,rwd,94.3,170.7,61.8,53.5,ohc,four,111,2bbl,78,24,29,6785
1,gas,std,two,sedan,fwd,94.5,155.9,63.6,52,ohc,four,90,2bbl,70,38,43,8916.5
0,gas,std,four,sedan,fwd,94.5,155.9,63.6,52,ohc,four,90,2bbl,70,38,43,8916.5
2,gas,std,two,hatchback,rwd,96,172.6,65.2,51.4,ohc,four,119,spfi,90,24,29,11048
0,gas,std,four,sedan,rwd,113,199.6,69.6,52.8,dohc,six,258,mpfi,176,15,19,32250
0,gas,std,four,sedan,rwd,113,199.6,69.6,52.8,dohc,six,258,mpfi,176,15,19,35550
0,gas,std,two,sedan,rwd,102,191.7,70.6,47.8,ohcv,twelve,326,mpfi,262,13,17,36000
1,gas,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,ohc,four,91,2bbl,68,30,31,5195
1,gas,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,ohc,four,91,2bbl,68,31,38,6095
1,gas,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,ohc,four,91,2bbl,68,31,38,6795
1,gas,std,four,sedan,fwd,93.1,166.8,64.2,54.1,ohc,four,91,2bbl,68,31,38,6695
1,gas,std,four,sedan,fwd,93.1,166.8,64.2,54.1,ohc,four,91,2bbl,68,31,38,7395
3,gas,std,two,hatchback,rwd,95.3,169,65.7,49.6,rotor,two,70,4bbl,101,17,23,10945
3,gas,std,two,hatchback,rwd,95.3,169,65.7,49.6,rotor,two,70,4bbl,101,17,23,11845
3,gas,std,two,hatchback,rwd,95.3,169,65.7,49.6,rotor,two,70,4bbl,101,17,23,13645
3,gas,std,two,hatchback,rwd,95.3,169,65.7,49.6,rotor,two,80,mpfi,135,16,23,15645
1,gas,std,two,hatchback,fwd,98.8,177.8,66.5,53.7,ohc,four,122,2bbl,84,26,32,8845
